"next_page_token","results__business_status","results__formatted_address","results__geometry__location__lat","results__geometry__location__lng","results__geometry__viewport__|","results__geometry__viewport__|__lat","results__geometry__viewport__|__lng","results__icon","results__name","results__photos__height","results__photos__html_attributions__-","results__photos__photo_reference","results__photos__width","results__place_id","results__plus_code__compound_code","results__plus_code__global_code","results__rating","results__reference","results__types__001","results__types__002","results__types__003","results__user_ratings_total","status","results__opening_hours__open_now"
"","OPERATIONAL","Jl. Tentara Pelajar No.72, RT.1, Daleman, Kledung Karangdalem, Kec. Purworejo, Kabupaten Purworejo, Jawa Tengah 54171, Indonesia","-7.725068999999999","109.9879913","northeast","-7.723819120107278","109.9894245298927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","Sanjaya Inn Hotel","3000","<a href=""https://maps.google.com/maps/contrib/104920347555805643106"">Sulis Andayaningrum</a>","ATtYBwLlSMeC2-PbLOZEv1AyGx2f_SjlUc-EKF3pU7LBhOFtuD4uw_mlwsKcSiAiEs9gszgcR__imU5bX_jyGEIXp3oEgHRCt87fNtNrBFSiZ1nhVbCloyPUV2Vslb0_eD2YIM5bPOpLpddbxwus5rjGcR0etdaEVzUyl3Gaa4X6f_nUSch7","5333","ChIJSZnPAy_qei4Rry-gzKC0WTQ","7XFQ+X5 Kledung Karangdalem, Purworejo Regency, Central Java","6P4F7XFQ+X5","3.5","ChIJSZnPAy_qei4Rry-gzKC0WTQ","lodging","point_of_interest","establishment","591","",""
"","","","","","southwest","-7.726518779892722","109.9867248701073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","Rw. IV, Boro Kulon, Banyuurip, Purworejo Regency, Central Java 54171, Indonesia","-7.7417942","109.9984961","northeast","-7.74039502010728","109.9998901298927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","Hotel Giripurwo","1536","<a href=""https://maps.google.com/maps/contrib/114182305766915740924"">Praga Adidhatama</a>","ATtYBwIxbxqdnVxvDOceyWm3WxaKEaMNXba8jmeNHRWUqragCcJJc8c2zg5yyiWkuB0PI921toaqky9OJNW_vdpCrTtMMBiyfjQgdzV_5iJydkphSH3UyhWH7Chg6kB8FzHx92XjPgSkKciVX2pAuLAyrETD8zCxigkMQ742EKefWN97zls6","2560","ChIJQQVVGXjpei4RDpYEtv8IHSs","7X5X+79 Boro Kulon, Purworejo Regency, Central Java","6P4F7X5X+79","4","ChIJQQVVGXjpei4RDpYEtv8IHSs","lodging","point_of_interest","establishment","132","",""
"","","","","","southwest","-7.743094679892724","109.9971904701073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","jalan yogyakarta No.km.5, Gegunungan, Popongan, Kec. Banyuurip, Kabupaten Purworejo, Jawa Tengah 54171, Indonesia","-7.762239900000001","110.0042059","northeast","-7.76089742010728","110.0054836798927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","HOTEL SANJAYA","1844","<a href=""https://maps.google.com/maps/contrib/102222949385803135510"">A Google User</a>","ATtYBwIomDMBMXEQv_0p3rmEWKk2eliS-_lMcYrom8NnuIryxD7xT30_QZBJiXs5iWMQi90aLDkcfp8KOgp1lxUVZE2HsfWgias9Hnkq_RpBWxawjUkZ_SdHeew4EWbGrwoZfH3lfWvV4bvzPL1XFwRQofW76u8ehIz9lKYE1Iodzywi5kmd","4000","ChIJh22G4Qzpei4R1s1PS2EwJX4","62Q3+4M Popongan, Purworejo Regency, Central Java","6P4G62Q3+4M","4.3","ChIJh22G4Qzpei4R1s1PS2EwJX4","lodging","point_of_interest","establishment","31","",""
"","","","","","southwest","-7.763597079892723","110.0027840201073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","Jl. Kolonel Sugiono No.62, Kepatihan, Purworejo, Kec. Purworejo, Kabupaten Purworejo, Jawa Tengah 54151, Indonesia","-7.7087732","110.0144486","northeast","-7.70748027010728","110.0159148798927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","Hotel Ganesha","3120","<a href=""https://maps.google.com/maps/contrib/114494281498087537433"">A Google User</a>","ATtYBwI8Qom0TK0hC8XWP-lLYpF7Sy58irGNcSue7u0XSU79dfAUIi8seo6S4k_1mQjlmpeMLNW4A-t_aTDmrtNhH8b2qZc2qonY4KoVDstGAkzzNqxH1I8PYutt8dP09zvEMefxp1Oz31GwZ2cWy_b8WJw6qD5NOAKgZwdQChvFLUmL9pHe","4160","ChIJhYth6bfrei4R8bgKP0WMNMs","72R7+FQ Purworejo, Purworejo Regency, Central Java","6P4G72R7+FQ","3.8","ChIJhYth6bfrei4R8bgKP0WMNMs","lodging","point_of_interest","establishment","457","",""
"","","","","","southwest","-7.710179929892724","110.0132152201073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","Nglinggo Timur, Pagerharjo, Samigaluh, Kulon Progo Regency, Special Region of Yogyakarta 55673, Indonesia","-7.657555500000001","110.1440014","northeast","-7.656226320107279","110.1452946298927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","ARJUNA HOMESTAY","780","<a href=""https://maps.google.com/maps/contrib/116145526382173286214"">A Google User</a>","ATtYBwIyRKsl47PJsrISzH_MGt5sFUIFl6jv0Q8C8M497VLkfL2V7qG2QHV3m6WfgXQhSJcgErxP4ko4pJRZm6CKoKk8_COcjhWMv8wSPW74C3k5qX9D9HXrFFohsZG8WUZq5f_5Jtom99gQUEBrZkomhiSJyGTaj9p_BKAIB1I4jPXOCS4I","780","ChIJ7bwEIgXzei4RIRpbEKOv_EE","84RV+XJ Pagerharjo, Kulon Progo Regency, Special Region of Yogyakarta","6P4G84RV+XJ","4.8","ChIJ7bwEIgXzei4RIRpbEKOv_EE","lodging","point_of_interest","establishment","14","","True"
"","","","","","southwest","-7.658925979892723","110.1425949701073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","No. 22 Jalan Raya Kutoarjo, Jl. Ketawang No.Km7, Babrik, Dukuhdungus, Grabag, Purworejo Regency, Central Java 54265, Indonesia","-7.777684499999999","109.9102964","northeast","-7.776339370107278","109.9116729298927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","WALASA HOME STAY 1 (AYU)","2322","<a href=""https://maps.google.com/maps/contrib/100097823898309787856"">Dimas Kamali</a>","ATtYBwL4OuEOwDpZhyxyTxEbfIc5n1EJ03RFzpOfjs4TLPnUnkG-6qgpI1Fg5pWiqDSFLBVKh_4PJyEUeeoesJs501ZNGRVlUI15cbAkKlJuiOTSlhfl-7W-bL3k7z21fDe-eGvXbs1pgU_9UlU5-rpvgP5yZsgis2De9VJvCzsJpBV0C9Xj","4128","ChIJV9U0NtTDei4RdIWXrvdxyVs","6WC6+W4 Dukuhdungus, Purworejo Regency, Central Java","6P4F6WC6+W4","4.4","ChIJV9U0NtTDei4RdIWXrvdxyVs","lodging","point_of_interest","establishment","50","","True"
"","","","","","southwest","-7.779039029892722","109.9089732701073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","Jl. Urip Sumoharjo No.47, Purworejo, Kec. Purworejo, Kabupaten Purworejo, Jawa Tengah 54151, Indonesia","-7.710277800000001","110.0122222","northeast","-7.709024220107279","110.0137073798927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","Hotel Suronegaran","1232","<a href=""https://maps.google.com/maps/contrib/104041934545009972420"">Gunawan Utama</a>","ATtYBwKQbigJTOsKaRc-un_QQvmjzfrPJ9biMGH4Dlh3G1nF7xoSOSb6pNt_zBlLsk8qS0PAWQV6wANlx9gCzzmuhFBq4xtwrjBrCI4zOVuXJWxtQsCS6DDOgLUZf-1pBbbDGnWEs6vJcYA7uEOWxyUhYkY9HhnFuwJo29NnAM4SVpiFHwmY","2048","ChIJ66JKdLjrei4RUaqANdpcQX0","72Q6+VV Purworejo, Purworejo Regency, Central Java","6P4G72Q6+VV","3.7","ChIJ66JKdLjrei4RUaqANdpcQX0","lodging","point_of_interest","establishment","384","",""
"","","","","","southwest","-7.711723879892723","110.0110077201073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","Bulusari, Sarigono, Pagerharjo, Samigaluh, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55673, Indonesia","-7.668244","110.132187","northeast","-7.666952420107278","110.1334395798927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","Nabhan Homestay","853","<a href=""https://maps.google.com/maps/contrib/116639964282462732266"">A Google User</a>","ATtYBwKbz2bH_afqlNhm4cSw67tQj2Gek1U22rY3OsIdzGxwbWikjS4-caBtg9VbM6Dc3TBovsdG4vSZW1e2x65j3uBFikupz-ReKY0oRLce4PZJk4jNO0QFH72eB2oif9l88hHpqpeykzd3vCM5mPtKqqwd7Lc2zTGrTo-M6U8CVp2o3-g3","1280","ChIJ3xsWOATtei4RsCghOXkCVnI","84JJ+PV Pagerharjo, Kulon Progo Regency, Special Region of Yogyakarta","6P4G84JJ+PV","4.3","ChIJ3xsWOATtei4RsCghOXkCVnI","lodging","point_of_interest","establishment","15","","True"
"","","","","","southwest","-7.669652079892722","110.1307399201073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","Ngadiboyo, Ngadirejo, Kaligesing, Purworejo Regency, Central Java 54175, Indonesia","-7.677027599999999","110.1203297","northeast","-7.675685620107275","110.1216136298927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","Dewi sri homestay","3322","<a href=""https://maps.google.com/maps/contrib/100045112233679799648"">sri hardhany</a>","ATtYBwKff6tANgVjjWMeBKGUFOTGcw-NnMobgxI-EnbWbzWbgCZ9yiAVfJZdHOEKtG8ynzrglymmPteeglVoPhfNCBFrWVwGYbeKh7vRnjSyh5tQdBPunFq2gWaiJ9uLXWXGRyfwukHfaKnU8YFoPmNL1ZtGxp4MvQaIgbJMIiXhbXasqwYg","1578","ChIJO2vQEsztei4Rey6qrY5qWqU","84FC+54 Ngadirejo, Purworejo Regency, Central Java","6P4G84FC+54","4.7","ChIJO2vQEsztei4Rey6qrY5qWqU","lodging","point_of_interest","establishment","6","",""
"","","","","","southwest","-7.678385279892719","110.1189139701073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","Jl. Pangeran Diponegoro No.139, Serdo Barat, Kutoarjo, Kec. Kutoarjo, Kabupaten Purworejo, Jawa Tengah 54212, Indonesia","-7.7224469","109.910325","northeast","-7.721015920107277","109.9116466298927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","Hotel Kencana Kutoarjo","540","<a href=""https://maps.google.com/maps/contrib/108689699470324140821"">Bambang Priyo Cahyono</a>","ATtYBwKpMw9IEOPl0CZc5OZa5qIqCMfDp2wfyqKWpZsuM6iqDUIvZi57UbLFC8py28TPdtfusCs68vCkBKs5K06I6rPuhoFCWX_I_Iji3af3Fc35sX-b-7Tn97JuPkdCUzRFd84ZlurFv3hgmU80403wUIp1E3IiEzoLVu1YsdXKJpxyvC76","720","ChIJJzvQN5rBei4RoVSw-1holGg","7WH6+24 Kutoarjo, Purworejo Regency, Central Java","6P4F7WH6+24","4.1","ChIJJzvQN5rBei4RoVSw-1holGg","lodging","point_of_interest","establishment","197","",""
"","","","","","southwest","-7.723715579892721","109.9089469701073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","Sokomoyo, Jatimulyo, Girimulyo, Kulon Progo Regency, Special Region of Yogyakarta 55674, Indonesia","-7.751597899999999","110.1296447","northeast","-7.749860420107276","110.1311409298927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","Kampung Watu Blencong","3472","<a href=""https://maps.google.com/maps/contrib/116791587594511744270"">A Google User</a>","ATtYBwLYuHjC9KUrSQQXmCvwcTpwRQKuqb_2_p9kWbg7L9aOVV9NPdkXmS6m3KSHzjHMiOv38Wx27Id8BY0C2Dud-t3wHlWSfeKjUfmxey3xOAyh9CbgJmneMB65J-NtFPBf26fZViYt638ZfIguTq4vGCYcEgyu8_kQt2e_qnMu8mrA1aAq","4624","ChIJJbUcpCTuei4RDu_3E6rfIfw","64XH+9V Jatimulyo, Kulon Progo Regency, Special Region of Yogyakarta","6P4G64XH+9V","4.5","ChIJJbUcpCTuei4RDu_3E6rfIfw","lodging","point_of_interest","establishment","97","",""
"","","","","","southwest","-7.75256007989272","110.1284412701073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","Nglinggo Barat, Pagerharjo, Samigaluh, Kulon Progo Regency, Special Region of Yogyakarta 55673, Indonesia","-7.6543851","110.1407454","northeast","-7.652875220107278","110.1421698298927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","Kumoro's House","1080","<a href=""https://maps.google.com/maps/contrib/115842278252619040414"">A Google User</a>","ATtYBwKkF98WwrDZeGJrVxbzQn5suF2YpB10d1W76rGXEKbF62rDC7zPcAn_Vss8kGaj23trpp-0VMV3aexOgbK4cV4eRJi9yqydhKWu1-f42OWSuctPzCrcpxnQeQIBIjMhS-xZfWUwFPmtrF625wP3fNSnxzWPLrtdOOZFspNS4hJA5SoB","1920","ChIJixiGccPzei4RdZqdSov_cfA","84WR+67 Pagerharjo, Kulon Progo Regency, Special Region of Yogyakarta","6P4G84WR+67","4.5","ChIJixiGccPzei4RdZqdSov_cfA","lodging","point_of_interest","establishment","2","","False"
"","","","","","southwest","-7.655574879892722","110.1394701701073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","Jl. Tanjung Anom No.7, Kembang Arum, Kutoarjo, Purworejo, Kabupaten Purworejo, Jawa Tengah 54251, Indonesia","-7.720815300000001","109.9114842","northeast","-7.719436020107277","109.9128925298927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","Puri Mandiri Hotel","2322","<a href=""https://maps.google.com/maps/contrib/109891405602418576015"">Wayanroy Duasatudua</a>","ATtYBwLOB5TsadCb6Y9IUV6p9EJ3Y4Yx5haXUgd9YXRMi2zNLyMndJbAgAYHl8YDmJ44SkACyKJrEAh6A5nGe5MY6jM67xxmWcccrJD-DJuqqzgLPI5cjCOtB0gpU5pSCbydlebbiGL4zyQkAd-bCIp69OR31UhQeKamMf7HZbYx2L_kkjkw","4128","ChIJO1kfd5zBei4ReT-7WV9xaSU","7WH6+MH Kutoarjo, Purworejo Regency, Central Java","6P4F7WH6+MH","4.2","ChIJO1kfd5zBei4ReT-7WV9xaSU","lodging","point_of_interest","establishment","153","",""
"","","","","","southwest","-7.722135679892721","109.9101928701073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","Jl. Cemp. No.6, Serdo Barat, Kutoarjo, Kec. Kutoarjo, Kabupaten Purworejo, Jawa Tengah 54212, Indonesia","-7.7236287","109.9111553","northeast","-7.722179270107278","109.9125189798927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","Hotel Garuda Setia","3120","<a href=""https://maps.google.com/maps/contrib/108953175566638266917"">Muhamad Sidhiq</a>","ATtYBwKLe-k4XdIIiAfJwRK0lA8wynX7IES3y9OGcm9ceE7KKbF-69d4jjeJX-y7NMGvtAgu2yHGBMDZN3GdUXmH60Jg-tmweol_ggk7A2JzJAskGbQPPHrNPGME--ari1WXzPozp1qx8A0HcGVhVuvlR8Cy8TnFFfrrtjTBR59waiVFzSNj","4160","ChIJUeoo6rfrei4RjExpR3nvKJ0","7WG6+GF Kutoarjo, Purworejo Regency, Central Java","6P4F7WG6+GF","3.7","ChIJUeoo6rfrei4RjExpR3nvKJ0","lodging","point_of_interest","establishment","264","",""
"","","","","","southwest","-7.724878929892722","109.9098193201073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","Soropati, Hargotirto, Kokap, Kulon Progo Regency, Special Region of Yogyakarta 55653, Indonesia","-7.7987666","110.1178487","northeast","-7.796606750000001","110.1190798798927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","Homestay Jemakir","3264","<a href=""https://maps.google.com/maps/contrib/107437920889772335807"">A Google User</a>","ATtYBwIEmya_RgEpFj8lFFUoRQlrqGRb2-2AziHqlImg1l9DkbKtIldY2rXGm4V1grsW3JE1QQCZi0mH_RmpvIJCL-DwI2oDcjPZp84uPzssi0V9jTvF82HJfiXA7SN9TQSQRf9PcgLQ7urzqzGCGo9MNn_wa_QggrtS4u2hoYZu-qWRr3Zx","2448","ChIJw4t54sXvei4RxVob-2GfPhg","6429+F4 Hargotirto, Kulon Progo Regency, Special Region of Yogyakarta","6P4G6429+F4","5","ChIJw4t54sXvei4RxVob-2GfPhg","lodging","point_of_interest","establishment","2","","True"
"","","","","","southwest","-7.799486550000001","110.1163802201073","","","","","","","","","","","","","","","","",""
